date,vaccine_name,batch_id,manufacturer,location,demand,supply,stock
2024-01-31,Covishield,COV-030,Serum Institute,Tamil Nadu,284,310,298
2024-02-01,Covishield,COV-031,Serum Institute,Karnataka,285,300,273
2024-02-02,Covishield,COV-032,Serum Institute,Maharashtra,255,246,203
2024-02-03,Covishield,COV-033,Serum Institute,Maharashtra,263,292,269
2024-02-04,Covishield,COV-034,Serum Institute,Tamil Nadu,276,280,239
2024-02-05,Covishield,COV-035,Serum Institute,Delhi,293,309,274
2024-02-06,Covishield,COV-036,Serum Institute,Tamil Nadu,303,322,274
2024-02-07,Covishield,COV-037,Serum Institute,Tamil Nadu,296,304,284
2024-02-08,Covishield,COV-038,Serum Institute,Karnataka,290,311,273
2024-02-09,Covishield,COV-039,Serum Institute,Kerala,276,300,257
2024-02-10,Covishield,COV-040,Serum Institute,Delhi,251,271,254
2024-02-11,Covishield,COV-041,Serum Institute,Delhi,259,241,221
2024-02-12,Covishield,COV-042,Serum Institute,Tamil Nadu,274,254,208
2024-02-13,Covishield,COV-043,Serum Institute,Delhi,279,259,236
2024-02-14,Covishield,COV-044,Serum Institute,Kerala,285,286,237
2024-02-15,Covishield,COV-045,Serum Institute,Karnataka,255,265,245
2024-02-16,Covishield,COV-046,Serum Institute,Tamil Nadu,239,261,260
2024-02-17,Covishield,COV-047,Serum Institute,Kerala,214,218,217
2024-02-18,Covishield,COV-048,Serum Institute,Tamil Nadu,215,242,235
2024-02-19,Covishield,COV-049,Serum Institute,Delhi,230,229,193
2024-02-20,Covishield,COV-050,Serum Institute,Tamil Nadu,257,285,262
2024-02-21,Covishield,COV-051,Serum Institute,Delhi,222,238,221
2024-02-22,Covishield,COV-052,Serum Institute,Tamil Nadu,211,204,195
2024-02-23,Covishield,COV-053,Serum Institute,Delhi,213,243,236
2024-02-24,Covishield,COV-054,Serum Institute,Karnataka,203,194,184
2024-02-25,Covishield,COV-055,Serum Institute,Tamil Nadu,211,204,197
2024-02-26,Covishield,COV-056,Serum Institute,Tamil Nadu,216,223,223
2024-02-27,Covishield,COV-057,Serum Institute,Karnataka,241,267,224
2024-02-28,Covishield,COV-058,Serum Institute,Delhi,265,273,249
2024-02-29,Covishield,COV-059,Serum Institute,Tamil Nadu,282,272,271
2024-03-01,Covishield,COV-060,Serum Institute,Kerala,254,276,247
2024-03-02,Covishield,COV-061,Serum Institute,Maharashtra,224,222,189
2024-03-03,Covishield,COV-062,Serum Institute,Delhi,255,280,280
2024-03-04,Covishield,COV-063,Serum Institute,Maharashtra,282,312,306
2024-03-05,Covishield,COV-064,Serum Institute,Delhi,304,314,306
2024-03-06,Covishield,COV-065,Serum Institute,Tamil Nadu,296,324,309
2024-03-07,Covishield,COV-066,Serum Institute,Delhi,304,330,283
2024-03-08,Covishield,COV-067,Serum Institute,Tamil Nadu,292,317,305
2024-03-09,Covishield,COV-068,Serum Institute,Karnataka,268,261,213
2024-03-10,Covishield,COV-069,Serum Institute,Tamil Nadu,270,269,265
2024-03-11,Covishield,COV-070,Serum Institute,Tamil Nadu,312,327,325
2024-03-12,Covishield,COV-071,Serum Institute,Karnataka,278,274,245
2024-03-13,Covishield,COV-072,Serum Institute,Karnataka,299,318,293
2024-03-14,Covishield,COV-073,Serum Institute,Maharashtra,269,277,271
2024-03-15,Covishield,COV-074,Serum Institute,Maharashtra,252,268,249
2024-03-16,Covishield,COV-075,Serum Institute,Maharashtra,228,232,202
2024-03-17,Covishield,COV-076,Serum Institute,Karnataka,220,204,170
2024-03-18,Covishield,COV-077,Serum Institute,Tamil Nadu,233,263,248
2024-03-19,Covishield,COV-078,Serum Institute,Delhi,248,230,219
2024-03-20,Covishield,COV-079,Serum Institute,Karnataka,269,272,243
2024-03-21,Covishield,COV-080,Serum Institute,Karnataka,259,269,242
2024-03-22,Covishield,COV-081,Serum Institute,Maharashtra,230,232,192
2024-03-23,Covishield,COV-082,Serum Institute,Kerala,224,232,188
2024-03-24,Covishield,COV-083,Serum Institute,Tamil Nadu,209,194,168
2024-03-25,Covishield,COV-084,Serum Institute,Tamil Nadu,244,233,183
2024-03-26,Covishield,COV-085,Serum Institute,Karnataka,245,243,193
2024-03-27,Covishield,COV-086,Serum Institute,Karnataka,268,257,252
2024-03-28,Covishield,COV-087,Serum Institute,Tamil Nadu,233,255,245
2024-03-29,Covishield,COV-088,Serum Institute,Delhi,242,237,198
2024-03-30,Covishield,COV-089,Serum Institute,Maharashtra,247,235,203
2024-03-31,Covishield,COV-090,Serum Institute,Delhi,255,253,211
2024-04-01,Covishield,COV-091,Serum Institute,Tamil Nadu,264,259,225
2024-04-02,Covishield,COV-092,Serum Institute,Delhi,284,284,256
2024-04-03,Covishield,COV-093,Serum Institute,Kerala,293,280,262
2024-04-04,Covishield,COV-094,Serum Institute,Kerala,278,297,280
2024-04-05,Covishield,COV-095,Serum Institute,Maharashtra,273,299,265
2024-04-06,Covishield,COV-096,Serum Institute,Delhi,265,293,265
2024-04-07,Covishield,COV-097,Serum Institute,Delhi,285,278,238
2024-04-08,Covishield,COV-098,Serum Institute,Maharashtra,289,278,260
2024-04-09,Covishield,COV-099,Serum Institute,Tamil Nadu,304,319,316
2024-04-10,Covishield,COV-100,Serum Institute,Karnataka,313,330,299
2024-04-11,Covishield,COV-101,Serum Institute,Tamil Nadu,291,285,239
2024-04-12,Covishield,COV-102,Serum Institute,Kerala,273,270,224
2024-04-13,Covishield,COV-103,Serum Institute,Kerala,260,251,221
2024-04-14,Covishield,COV-104,Serum Institute,Maharashtra,256,247,225
2024-04-15,Covishield,COV-105,Serum Institute,Maharashtra,259,256,224
2024-04-16,Covishield,COV-106,Serum Institute,Tamil Nadu,264,251,235
2024-04-17,Covishield,COV-107,Serum Institute,Kerala,267,276,229
2024-04-18,Covishield,COV-108,Serum Institute,Kerala,258,247,243
2024-04-19,Covishield,COV-109,Serum Institute,Kerala,239,257,243
2024-04-20,Covishield,COV-110,Serum Institute,Karnataka,221,212,189
2024-04-21,Covishield,COV-111,Serum Institute,Kerala,234,264,235
2024-04-22,Covishield,COV-112,Serum Institute,Delhi,252,264,217
2024-04-23,Covishield,COV-113,Serum Institute,Kerala,244,253,250
2024-04-24,Covishield,COV-114,Serum Institute,Maharashtra,253,243,241
2024-04-25,Covishield,COV-115,Serum Institute,Karnataka,233,225,182
2024-04-26,Covishield,COV-116,Serum Institute,Karnataka,241,243,215
2024-04-27,Covishield,COV-117,Serum Institute,Tamil Nadu,243,250,248
2024-04-28,Covishield,COV-118,Serum Institute,Karnataka,241,241,240
2024-04-29,Covishield,COV-119,Serum Institute,Maharashtra,249,252,231
2024-04-30,Covishield,COV-120,Serum Institute,Delhi,271,296,277
2024-05-01,Covishield,COV-121,Serum Institute,Maharashtra,300,306,281
2024-05-02,Covishield,COV-122,Serum Institute,Tamil Nadu,275,261,211
2024-05-03,Covishield,COV-123,Serum Institute,Kerala,276,271,234
2024-05-04,Covishield,COV-124,Serum Institute,Delhi,271,275,264
2024-05-05,Covishield,COV-125,Serum Institute,Karnataka,250,234,232
2024-05-06,Covishield,COV-126,Serum Institute,Maharashtra,275,270,255
2024-05-07,Covishield,COV-127,Serum Institute,Delhi,327,310,269
2024-05-08,Covishield,COV-128,Serum Institute,Karnataka,313,327,299
2024-05-09,Covishield,COV-129,Serum Institute,Kerala,315,336,326
2024-05-10,Covishield,COV-130,Serum Institute,Tamil Nadu,284,282,235
2024-05-11,Covishield,COV-131,Serum Institute,Tamil Nadu,267,284,274
2024-05-12,Covishield,COV-132,Serum Institute,Kerala,274,267,247
2024-05-13,Covishield,COV-133,Serum Institute,Maharashtra,271,300,284
2024-05-14,Covishield,COV-134,Serum Institute,Tamil Nadu,293,308,280
2024-05-15,Covishield,COV-135,Serum Institute,Kerala,284,271,254
2024-05-16,Covishield,COV-136,Serum Institute,Karnataka,275,272,256
2024-05-17,Covishield,COV-137,Serum Institute,Karnataka,244,268,251
2024-05-18,Covishield,COV-138,Serum Institute,Maharashtra,235,226,203
2024-05-19,Covishield,COV-139,Serum Institute,Tamil Nadu,228,237,227
2024-05-20,Covishield,COV-140,Serum Institute,Delhi,237,241,229
2024-05-21,Covishield,COV-141,Serum Institute,Maharashtra,243,249,223
2024-05-22,Covishield,COV-142,Serum Institute,Karnataka,258,244,231
2024-05-23,Covishield,COV-143,Serum Institute,Maharashtra,252,264,235
2024-05-24,Covishield,COV-144,Serum Institute,Maharashtra,219,216,201
2024-05-25,Covishield,COV-145,Serum Institute,Kerala,253,236,197
2024-05-26,Covishield,COV-146,Serum Institute,Karnataka,248,277,272
2024-05-27,Covishield,COV-147,Serum Institute,Karnataka,278,260,255
2024-05-28,Covishield,COV-148,Serum Institute,Maharashtra,266,293,279
2024-05-29,Covishield,COV-149,Serum Institute,Delhi,265,247,215
2024-05-30,Covishield,COV-150,Serum Institute,Karnataka,288,299,276
2024-05-31,Covishield,COV-151,Serum Institute,Tamil Nadu,267,251,208
2024-06-01,Covishield,COV-152,Serum Institute,Maharashtra,257,246,203
2024-06-02,Covishield,COV-153,Serum Institute,Delhi,275,301,257
2024-06-03,Covishield,COV-154,Serum Institute,Karnataka,299,314,274
2024-06-04,Covishield,COV-155,Serum Institute,Delhi,303,328,316
2024-06-05,Covishield,COV-156,Serum Institute,Kerala,324,316,293
2024-06-06,Covishield,COV-157,Serum Institute,Karnataka,300,327,290
2024-06-07,Covishield,COV-158,Serum Institute,Karnataka,282,291,263
2024-06-08,Covishield,COV-159,Serum Institute,Karnataka,267,263,245
2024-06-09,Covishield,COV-160,Serum Institute,Delhi,291,313,282
2024-06-10,Covishield,COV-161,Serum Institute,Tamil Nadu,303,332,297
2024-06-11,Covishield,COV-162,Serum Institute,Tamil Nadu,312,293,291
2024-06-12,Covishield,COV-163,Serum Institute,Delhi,298,304,299
2024-06-13,Covishield,COV-164,Serum Institute,Tamil Nadu,294,287,262
2024-06-14,Covishield,COV-165,Serum Institute,Karnataka,254,263,256
2024-06-15,Covishield,COV-166,Serum Institute,Kerala,254,258,245
2024-06-16,Covishield,COV-167,Serum Institute,Delhi,244,258,236
2024-06-17,Covishield,COV-168,Serum Institute,Delhi,264,293,288
2024-06-18,Covishield,COV-169,Serum Institute,Karnataka,277,275,249
2024-06-19,Covishield,COV-170,Serum Institute,Kerala,248,272,262
2024-06-20,Covishield,COV-171,Serum Institute,Tamil Nadu,236,258,209
2024-06-21,Covishield,COV-172,Serum Institute,Kerala,227,238,229
2024-06-22,Covishield,COV-173,Serum Institute,Delhi,217,237,191
2024-06-23,Covishield,COV-174,Serum Institute,Tamil Nadu,227,236,191
2024-06-24,Covishield,COV-175,Serum Institute,Delhi,263,250,243
2024-06-25,Covishield,COV-176,Serum Institute,Kerala,266,252,216
2024-06-26,Covishield,COV-177,Serum Institute,Tamil Nadu,279,304,269
2024-06-27,Covishield,COV-178,Serum Institute,Delhi,276,306,265
2024-06-28,Covishield,COV-179,Serum Institute,Karnataka,267,276,228
2024-06-29,Covishield,COV-180,Serum Institute,Kerala,263,261,218
2024-06-30,Covishield,COV-181,Serum Institute,Karnataka,255,276,269
2024-07-01,Covishield,COV-182,Serum Institute,Karnataka,291,284,240
2024-07-02,Covishield,COV-183,Serum Institute,Delhi,290,292,287
2024-07-03,Covishield,COV-184,Serum Institute,Karnataka,320,301,262
2024-07-04,Covishield,COV-185,Serum Institute,Kerala,305,311,302
2024-07-05,Covishield,COV-186,Serum Institute,Karnataka,303,288,270
2024-07-06,Covishield,COV-187,Serum Institute,Maharashtra,292,292,258
2024-07-07,Covishield,COV-188,Serum Institute,Delhi,293,304,283
2024-07-08,Covishield,COV-189,Serum Institute,Tamil Nadu,299,280,270
2024-07-09,Covishield,COV-190,Serum Institute,Karnataka,304,326,294
2024-07-10,Covishield,COV-191,Serum Institute,Karnataka,308,309,275
2024-07-11,Covishield,COV-192,Serum Institute,Maharashtra,301,300,280
2024-07-12,Covishield,COV-193,Serum Institute,Tamil Nadu,275,256,248
2024-07-13,Covishield,COV-194,Serum Institute,Kerala,260,282,257
2024-07-14,Covishield,COV-195,Serum Institute,Karnataka,266,281,265
2024-07-15,Covishield,COV-196,Serum Institute,Karnataka,264,247,197
2024-07-16,Covishield,COV-197,Serum Institute,Delhi,274,301,259
2024-07-17,Covishield,COV-198,Serum Institute,Delhi,256,269,269
2024-07-18,Covishield,COV-199,Serum Institute,Maharashtra,261,250,204
2024-07-19,Covishield,COV-200,Serum Institute,Delhi,239,232,200
2024-07-20,Covishield,COV-201,Serum Institute,Maharashtra,227,212,166
2024-07-21,Covishield,COV-202,Serum Institute,Maharashtra,225,215,202
2024-07-22,Covishield,COV-203,Serum Institute,Delhi,244,228,188
2024-07-23,Covishield,COV-204,Serum Institute,Maharashtra,253,246,234
2024-07-24,Covishield,COV-205,Serum Institute,Karnataka,257,286,274
2024-07-25,Covishield,COV-206,Serum Institute,Maharashtra,262,247,209
2024-07-26,Covishield,COV-207,Serum Institute,Kerala,255,235,231
2024-07-27,Covishield,COV-208,Serum Institute,Kerala,229,215,186
2024-07-28,Covishield,COV-209,Serum Institute,Karnataka,251,272,226
2024-07-29,Covishield,COV-210,Serum Institute,Maharashtra,279,277,266
2024-07-30,Covishield,COV-211,Serum Institute,Tamil Nadu,320,319,283
2024-07-31,Covishield,COV-212,Serum Institute,Delhi,320,312,273
2024-08-01,Covishield,COV-213,Serum Institute,Maharashtra,299,295,295
2024-08-02,Covishield,COV-214,Serum Institute,Tamil Nadu,289,282,250
2024-08-03,Covishield,COV-215,Serum Institute,Delhi,304,333,312
2024-08-04,Covishield,COV-216,Serum Institute,Karnataka,287,314,311
2024-08-05,Covishield,COV-217,Serum Institute,Delhi,302,326,320
2024-08-06,Covishield,COV-218,Serum Institute,Maharashtra,331,322,275
2024-08-07,Covishield,COV-219,Serum Institute,Kerala,322,337,335
2024-08-08,Covishield,COV-220,Serum Institute,Tamil Nadu,320,300,255
2024-08-09,Covishield,COV-221,Serum Institute,Maharashtra,305,293,248
2024-08-10,Covishield,COV-222,Serum Institute,Kerala,281,304,303
2024-08-11,Covishield,COV-223,Serum Institute,Tamil Nadu,267,251,245
2024-08-12,Covishield,COV-224,Serum Institute,Maharashtra,274,280,230
2024-08-13,Covishield,COV-225,Serum Institute,Kerala,300,311,295
2024-08-14,Covishield,COV-226,Serum Institute,Delhi,307,301,272
2024-08-15,Covishield,COV-227,Serum Institute,Kerala,292,322,272
2024-08-16,Covishield,COV-228,Serum Institute,Karnataka,259,273,269
2024-08-17,Covishield,COV-229,Serum Institute,Kerala,255,258,241
2024-08-18,Covishield,COV-230,Serum Institute,Delhi,232,225,202
2024-08-19,Covishield,COV-231,Serum Institute,Maharashtra,238,248,233
2024-08-20,Covishield,COV-232,Serum Institute,Tamil Nadu,279,309,262
2024-08-21,Covishield,COV-233,Serum Institute,Maharashtra,278,306,286
2024-08-22,Covishield,COV-234,Serum Institute,Kerala,264,279,240
2024-08-23,Covishield,COV-235,Serum Institute,Tamil Nadu,251,278,253
2024-08-24,Covishield,COV-236,Serum Institute,Tamil Nadu,234,261,245
2024-08-25,Covishield,COV-237,Serum Institute,Maharashtra,264,261,246
2024-08-26,Covishield,COV-238,Serum Institute,Delhi,282,279,269
2024-08-27,Covishield,COV-239,Serum Institute,Karnataka,287,272,271
2024-08-28,Covishield,COV-240,Serum Institute,Kerala,308,289,268
2024-08-29,Covishield,COV-241,Serum Institute,Maharashtra,296,290,271
2024-08-30,Covishield,COV-242,Serum Institute,Tamil Nadu,294,318,293
2024-08-31,Covishield,COV-243,Serum Institute,Karnataka,272,263,247
2024-09-01,Covishield,COV-244,Serum Institute,Kerala,295,325,293
2024-09-02,Covishield,COV-245,Serum Institute,Tamil Nadu,303,325,320
2024-09-03,Covishield,COV-246,Serum Institute,Karnataka,319,328,318
2024-09-04,Covishield,COV-247,Serum Institute,Tamil Nadu,336,316,271
2024-09-05,Covishield,COV-248,Serum Institute,Tamil Nadu,311,318,292
2024-09-06,Covishield,COV-249,Serum Institute,Karnataka,294,308,265
2024-09-07,Covishield,COV-250,Serum Institute,Maharashtra,270,276,236
2024-09-08,Covishield,COV-251,Serum Institute,Delhi,298,286,240
2024-09-09,Covishield,COV-252,Serum Institute,Karnataka,317,306,298
2024-09-10,Covishield,COV-253,Serum Institute,Kerala,305,328,303
2024-09-11,Covishield,COV-254,Serum Institute,Tamil Nadu,317,347,303
2024-09-12,Covishield,COV-255,Serum Institute,Karnataka,288,297,269
2024-09-13,Covishield,COV-256,Serum Institute,Maharashtra,265,277,238
2024-09-14,Covishield,COV-257,Serum Institute,Karnataka,236,237,229
2024-09-15,Covishield,COV-258,Serum Institute,Karnataka,238,218,204
2024-09-16,Covishield,COV-259,Serum Institute,Kerala,254,267,260
2024-09-17,Covishield,COV-260,Serum Institute,Delhi,274,280,263
2024-09-18,Covishield,COV-261,Serum Institute,Delhi,278,302,258
2024-09-19,Covishield,COV-262,Serum Institute,Maharashtra,267,249,218
2024-09-20,Covishield,COV-263,Serum Institute,Maharashtra,238,240,229
2024-09-21,Covishield,COV-264,Serum Institute,Kerala,245,253,250
2024-09-22,Covishield,COV-265,Serum Institute,Tamil Nadu,248,256,228
2024-09-23,Covishield,COV-266,Serum Institute,Karnataka,260,276,270
2024-09-24,Covishield,COV-267,Serum Institute,Karnataka,283,298,271
2024-09-25,Covishield,COV-268,Serum Institute,Karnataka,311,291,279
2024-09-26,Covishield,COV-269,Serum Institute,Delhi,279,267,263
2024-09-27,Covishield,COV-270,Serum Institute,Tamil Nadu,278,288,257
2024-09-28,Covishield,COV-271,Serum Institute,Delhi,238,253,221
2024-09-29,Covishield,COV-272,Serum Institute,Delhi,272,265,262
2024-09-30,Covishield,COV-273,Serum Institute,Kerala,318,305,290
2024-10-01,Covishield,COV-274,Serum Institute,Kerala,318,315,305
2024-10-02,Covishield,COV-275,Serum Institute,Delhi,338,352,345
2024-10-03,Covishield,COV-276,Serum Institute,Tamil Nadu,319,308,276
2024-10-04,Covishield,COV-277,Serum Institute,Tamil Nadu,314,301,301
2024-10-05,Covishield,COV-278,Serum Institute,Karnataka,307,290,255
2024-10-06,Covishield,COV-279,Serum Institute,Kerala,274,263,239
2024-10-07,Covishield,COV-280,Serum Institute,Tamil Nadu,318,329,289
2024-10-08,Covishield,COV-281,Serum Institute,Karnataka,315,330,299
2024-10-09,Covishield,COV-282,Serum Institute,Tamil Nadu,321,351,318
2024-10-10,Covishield,COV-283,Serum Institute,Maharashtra,316,301,260
2024-10-11,Covishield,COV-284,Serum Institute,Tamil Nadu,285,273,241
2024-10-12,Covishield,COV-285,Serum Institute,Tamil Nadu,272,292,242
2024-10-13,Covishield,COV-286,Serum Institute,Karnataka,290,271,268
2024-10-14,Covishield,COV-287,Serum Institute,Maharashtra,271,265,255
2024-10-15,Covishield,COV-288,Serum Institute,Tamil Nadu,293,302,288
2024-10-16,Covishield,COV-289,Serum Institute,Kerala,287,293,276
2024-10-17,Covishield,COV-290,Serum Institute,Maharashtra,274,281,234
2024-10-18,Covishield,COV-291,Serum Institute,Delhi,254,283,238
2024-10-19,Covishield,COV-292,Serum Institute,Kerala,225,223,196
2024-10-20,Covishield,COV-293,Serum Institute,Tamil Nadu,246,242,228
2024-10-21,Covishield,COV-294,Serum Institute,Kerala,237,238,209
2024-10-22,Covishield,COV-295,Serum Institute,Karnataka,300,320,311
2024-10-23,Covishield,COV-296,Serum Institute,Kerala,260,264,253
2024-10-24,Covishield,COV-297,Serum Institute,Maharashtra,304,310,274
2024-10-25,Covishield,COV-298,Serum Institute,Kerala,273,284,270
2024-10-26,Covishield,COV-299,Serum Institute,Tamil Nadu,272,271,256
2024-10-27,Covishield,COV-300,Serum Institute,Maharashtra,269,288,262
2024-10-28,Covishield,COV-301,Serum Institute,Delhi,277,280,232
2024-10-29,Covishield,COV-302,Serum Institute,Kerala,308,288,250
2024-10-30,Covishield,COV-303,Serum Institute,Karnataka,338,359,320
2024-10-31,Covishield,COV-304,Serum Institute,Delhi,303,307,305
2024-11-01,Covishield,COV-305,Serum Institute,Kerala,315,303,266
2024-11-02,Covishield,COV-306,Serum Institute,Tamil Nadu,295,290,274
2024-11-03,Covishield,COV-307,Serum Institute,Tamil Nadu,304,331,282
2024-11-04,Covishield,COV-308,Serum Institute,Maharashtra,330,333,325
2024-11-05,Covishield,COV-309,Serum Institute,Kerala,340,341,304
2024-11-06,Covishield,COV-310,Serum Institute,Maharashtra,325,320,271
2024-11-07,Covishield,COV-311,Serum Institute,Maharashtra,330,350,321
2024-11-08,Covishield,COV-312,Serum Institute,Maharashtra,321,340,333
2024-11-09,Covishield,COV-313,Serum Institute,Kerala,274,265,233
2024-11-10,Covishield,COV-314,Serum Institute,Delhi,272,263,250
2024-11-11,Covishield,COV-315,Serum Institute,Kerala,302,301,267
2024-11-12,Covishield,COV-316,Serum Institute,Kerala,284,298,270
2024-11-13,Covishield,COV-317,Serum Institute,Maharashtra,313,318,297
2024-11-14,Covishield,COV-318,Serum Institute,Tamil Nadu,303,319,271
2024-11-15,Covishield,COV-319,Serum Institute,Karnataka,265,282,246
2024-11-16,Covishield,COV-320,Serum Institute,Tamil Nadu,274,265,237
2024-11-17,Covishield,COV-321,Serum Institute,Delhi,228,243,215
2024-11-18,Covishield,COV-322,Serum Institute,Delhi,263,248,227
2024-11-19,Covishield,COV-323,Serum Institute,Tamil Nadu,304,304,283
2024-11-20,Covishield,COV-324,Serum Institute,Maharashtra,271,301,272
2024-11-21,Covishield,COV-325,Serum Institute,Karnataka,266,285,249
2024-11-22,Covishield,COV-326,Serum Institute,Kerala,264,270,250
2024-11-23,Covishield,COV-327,Serum Institute,Kerala,238,231,227
2024-11-24,Covishield,COV-328,Serum Institute,Maharashtra,270,269,267
2024-11-25,Covishield,COV-329,Serum Institute,Maharashtra,312,324,293
2024-11-26,Covishield,COV-330,Serum Institute,Delhi,305,290,254
2024-11-27,Covishield,COV-331,Serum Institute,Tamil Nadu,317,308,267
2024-11-28,Covishield,COV-332,Serum Institute,Karnataka,324,344,337
2024-11-29,Covishield,COV-333,Serum Institute,Tamil Nadu,292,320,291
2024-11-30,Covishield,COV-334,Serum Institute,Karnataka,299,300,280
2024-12-01,Covishield,COV-335,Serum Institute,Karnataka,325,309,292
2024-12-02,Covishield,COV-336,Serum Institute,Delhi,305,304,275
2024-12-03,Covishield,COV-337,Serum Institute,Kerala,338,330,315
2024-12-04,Covishield,COV-338,Serum Institute,Kerala,343,327,314
2024-12-05,Covishield,COV-339,Serum Institute,Tamil Nadu,341,353,325
2024-12-06,Covishield,COV-340,Serum Institute,Tamil Nadu,320,309,287
2024-12-07,Covishield,COV-341,Serum Institute,Tamil Nadu,310,307,264
2024-12-08,Covishield,COV-342,Serum Institute,Kerala,303,314,301
2024-12-09,Covishield,COV-343,Serum Institute,Tamil Nadu,309,316,312
2024-12-10,Covishield,COV-344,Serum Institute,Karnataka,315,333,294
2024-12-11,Covishield,COV-345,Serum Institute,Kerala,305,315,279
2024-12-12,Covishield,COV-346,Serum Institute,Delhi,302,325,298
2024-12-13,Covishield,COV-347,Serum Institute,Karnataka,273,279,251
2024-12-14,Covishield,COV-348,Serum Institute,Tamil Nadu,267,255,243
2024-12-15,Covishield,COV-349,Serum Institute,Kerala,250,264,245
2024-12-16,Covishield,COV-350,Serum Institute,Karnataka,293,322,272
2024-12-17,Covishield,COV-351,Serum Institute,Delhi,288,290,281
2024-12-18,Covishield,COV-352,Serum Institute,Kerala,287,306,301
2024-12-19,Covishield,COV-353,Serum Institute,Delhi,270,284,283
2024-12-20,Covishield,COV-354,Serum Institute,Maharashtra,260,284,260
2024-12-21,Covishield,COV-355,Serum Institute,Maharashtra,255,249,244
2024-12-22,Covishield,COV-356,Serum Institute,Karnataka,268,293,290
2024-12-23,Covishield,COV-357,Serum Institute,Delhi,266,252,219
2024-12-24,Covishield,COV-358,Serum Institute,Tamil Nadu,300,298,281
2024-12-25,Covishield,COV-359,Serum Institute,Maharashtra,325,324,316
2024-12-26,Covishield,COV-360,Serum Institute,Kerala,309,289,263
2024-12-27,Covishield,COV-361,Serum Institute,Maharashtra,292,283,274
2024-12-28,Covishield,COV-362,Serum Institute,Delhi,292,314,296
2024-12-29,Covishield,COV-363,Serum Institute,Karnataka,294,277,261
2024-12-30,Covishield,COV-364,Serum Institute,Karnataka,306,328,319
2024-01-01,Covaxin,COV-000,Bharat Biotech,Tamil Nadu,205,231,200
2024-01-02,Covaxin,COV-001,Bharat Biotech,Tamil Nadu,208,192,145
2024-01-03,Covaxin,COV-002,Bharat Biotech,Tamil Nadu,235,257,215
2024-01-04,Covaxin,COV-003,Bharat Biotech,Tamil Nadu,210,218,176
2024-01-05,Covaxin,COV-004,Bharat Biotech,Kerala,224,216,183
2024-01-06,Covaxin,COV-005,Bharat Biotech,Tamil Nadu,207,194,187
2024-01-07,Covaxin,COV-006,Bharat Biotech,Delhi,212,210,177
2024-01-08,Covaxin,COV-007,Bharat Biotech,Delhi,219,227,193
2024-01-09,Covaxin,COV-008,Bharat Biotech,Kerala,245,239,231
2024-01-10,Covaxin,COV-009,Bharat Biotech,Kerala,250,237,211
2024-01-11,Covaxin,COV-010,Bharat Biotech,Tamil Nadu,233,244,200
2024-01-12,Covaxin,COV-011,Bharat Biotech,Tamil Nadu,216,219,219
2024-01-13,Covaxin,COV-012,Bharat Biotech,Maharashtra,206,231,216
2024-01-14,Covaxin,COV-013,Bharat Biotech,Delhi,192,196,155
2024-01-15,Covaxin,COV-014,Bharat Biotech,Kerala,211,195,156
